MATCH_SCORE,MATCH_TIER,MATCH_CAPABILITY,MATCH_NAICS,MATCH_PSC,MATCH_CERT,MATCH_REASONS,MATCH_CAP,record_id,Source_Organization,Source_File,Source_Sheet,Processing_Date,Requirement Title,Requirement Description,Associated Program or Requirement Office,Anticipated Procurement Method,Anticipated Contract Type,Anticipated Procurement Instrument,Anticipated Solicitation FY,Anticipated Solicitation Quarter,Anticipated Award FY,Anticipated Award Quarter,Anticipated Period of Performance (Months),Anticipated NAICS Code,Anticipated PSC,Anticipated Place of Performance,Follow-on or New,Existing Contract Number,Incumbent Contractor,Contracting Office UIC,Contracting POC Name,Contracting POC Contact,Secondary POC Name,Secondary POC Contact,Anticipated Facilities Clearance,Anticipated Personnel Clearance,Anticipated Total Value (Millions),value_min_millions,value_max_millions,value_source,value_confidence,Comments,PALT Code,Sub PALT Code,qc_fy_unparsed,qc_qtr_unparsed,qc_value_open_ended,qc_value_missing,qc_uic_suspect,id,title,description,work_type,agency,source_org,naics,psc,set_aside,required_clearance,rfp_fy,rfp_quarter,award_fy,award_quarter,place_of_performance,follow_on,incumbent,contracting_office,est_value_min,est_value_max,anticipated_value
0.825,A,1.0,0.5,0.5,1.0,Strong capability match (100%),1.0,c067b48f7d994712,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,AUTOMATION SERVICES,AUTOMATION AS A SERVICE,ASN (FM & C),FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,FIRM FIXED PRICE,DELIVERY ORDER,2027,Q2,2028,Q1,,541219,R703,DC,Follow-on,N0018925FZ119,MORGAN BUSINESS CONSULTING  LLC,N00189,MARY LOU DICKENS,mary.l.dickens12.civ@us.navy.mil,STEPHANIE MURPHY,stephanie.m.murphy28.civ@us.navy.mil,TBD,TBD,50.0,50.0,50.0,numeric_millions,exact,,,,False,False,False,False,False,c067b48f7d994712,AUTOMATION SERVICES,AUTOMATION AS A SERVICE,AUTOMATION AS A SERVICE,ASN (FM & C),NAVSUP,541219,R703,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,TBD,2027,Q2,2028,Q1,DC,Follow-on,MORGAN BUSINESS CONSULTING  LLC,N00189,50.0,50.0,50.0
0.797,A,0.85,0.75,0.5,1.0,Strong capability match (85%); NAICS alignment (75%),1.0,bda8defbaf36016b,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,DIGITAL FORENSICS EXAMINER SERVICES,DIGITAL FORENSICS EXAMINER SERVICES,NCIS QUANTICO VA,NOT COMPETED UNDER SAP,FIRM FIXED PRICE,PURCHASE ORDER,2026,Q4,2027,Q3,,541519,DJ01,VA,Follow-on,N0018924PZ239,LONGEVITI LLC,N00189,JACOB SEGAL,jacob.a.segal.civ@us.navy.mil,THOMAS CAREY,thomas.carey56.civ@us.navy.mil,TBD,TBD,7.5,7.5,7.5,numeric_millions,exact,,,,False,False,False,False,False,bda8defbaf36016b,DIGITAL FORENSICS EXAMINER SERVICES,DIGITAL FORENSICS EXAMINER SERVICES,DIGITAL FORENSICS EXAMINER SERVICES,NCIS QUANTICO VA,NAVSUP,541519,DJ01,NOT COMPETED UNDER SAP,TBD,2026,Q4,2027,Q3,VA,Follow-on,LONGEVITI LLC,N00189,7.5,7.5,7.5
0.792,A,0.737,1.0,0.5,1.0,Strong capability match (74%); NAICS alignment (100%),1.0,371d6e42fd9be7cf,NAVAIR,NAVAIR_LRAE_Consolidated_compiled.tsv,LRAE Annex 25,2025-08-26,FO COMFRC ISO Registrations for Depot Level Activities,FO COMFRC ISO Registrations for Depot Level Activities,F600000 - FRC DIGITAL - FRC HQ,Full and Open Competition,Fixed-Price,"""C"" Type Contract",2026,Q3,2026,Q4,60,541611 - Administrative Management and General Management Consulting Services,R425 - SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,"Pax River, MD",Follow-on,GS10F0084U47QFAA21F0041,"INTERTEK TESTING SERVICES NA, INC.",N68520 - FRC HQ,"Huett, Meghan",meghan.huett@navy.mil,"WENGER, ALYSSA",alyssa.m.wenger.civ@us.navy.mil,Unclassified,Unclassified,7.5,7.5,7.5,numeric_dollars,exact,,,,False,False,False,False,False,371d6e42fd9be7cf,FO COMFRC ISO Registrations for Depot Level Activities,FO COMFRC ISO Registrations for Depot Level Activities,FO COMFRC ISO Registrations for Depot Level Activities,F600000 - FRC DIGITAL - FRC HQ,NAVAIR,541611,R425,Full and Open Competition,Unclassified,2026,Q3,2026,Q4,"Pax River, MD",Follow-on,"INTERTEK TESTING SERVICES NA, INC.",N68520 - FRC HQ,7.5,7.5,7.5
0.781,A,0.76,1.0,0.5,0.5,Strong capability match (76%); NAICS alignment (100%),1.0,57f5593fa32415a6,NAVAIR,NAVAIR_LRAE_Consolidated_compiled.tsv,LRAE Annex 25,2025-08-26,FY26/STORM/AIM-9X/MAP,Standardized Tester of Reprogrammable Munitions/Munitions Application Program (MAP) development.,WPM281 - WPM281 - PEO UW,Sole Source,Cost-Reimbursement,Basic Ordering Agreement Order,2025,Q4,2026,Q2,12,541511 - Custom Computer Programming Services,DA01 - IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),"Pax River, MD",New,,,N00019 - HQ,"Leitch, Jacob T.",jacob.t.leitch.civ@us.navy.mil,"Pico, Shannon",shannon.l.pico.civ@us.navy.mil,TBD,TBD,7.5,7.5,7.5,numeric_dollars,exact,,,,False,False,False,False,False,57f5593fa32415a6,FY26/STORM/AIM-9X/MAP,Standardized Tester of Reprogrammable Munitions/Munitions Application Program (MAP) development.,Standardized Tester of Reprogrammable Munitions/Munitions Application Program (MAP) development.,WPM281 - WPM281 - PEO UW,NAVAIR,541511,DA01,Sole Source,TBD,2025,Q4,2026,Q2,"Pax River, MD",New,nan,N00019 - HQ,7.5,7.5,7.5
0.757,A,0.7,0.75,1.0,1.0,Strong capability match (70%); NAICS alignment (75%); PSC match (100%),1.0,062dc987f41c3be7,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,MAJIC SYSTEM SUSTAINMENT,MAJIC SYSTEM SUSTAINMENT,CHNAVPERS SUPPORT WASH DC,FULL AND OPEN COMPETITION,COST PLUS FIXED FEE,DELIVERY ORDER,2025,Q3,2026,Q1,,541512,DF01,VA,Follow-on,N0018923FZ010,CLIENT SOLUTION ARCHITECTS LLC,N00189,KEVIN CLAUSON,kevin.m.clauson.civ@us.navy.mil,ADELINA LOZZI,adelina.lozzi.civ@us.navy.mil,TBD,TBD,2.0,2.0,2.0,numeric_millions,exact,,,,False,False,False,False,False,062dc987f41c3be7,MAJIC SYSTEM SUSTAINMENT,MAJIC SYSTEM SUSTAINMENT,MAJIC SYSTEM SUSTAINMENT,CHNAVPERS SUPPORT WASH DC,NAVSUP,541512,DF01,FULL AND OPEN COMPETITION,TBD,2025,Q3,2026,Q1,VA,Follow-on,CLIENT SOLUTION ARCHITECTS LLC,N00189,2.0,2.0,2.0
0.75,A,0.792,1.0,0.0,0.5,Strong capability match (79%); NAICS alignment (100%),1.0,a01e68897a3f774c,NAVAIR,NAVAIR_LRAE_Consolidated_compiled.tsv,LRAE Annex 25,2025-08-26,KC-130J Program: Honeywell FY26-27 (Delivery Order 5),Exercise 5th Delivery order with Honeywell for NAVData,APM207 - APM207 - PEO A,Sole Source,Fixed-Price,Delivery Order/Task Order (not under Federal Supply Schedule Contract),TBD,TBD,2026,Q3,12,"518210 - Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",K099 - MODIFICATION OF EQUIPMENT- MISCELLANEOUS,"Pax River, MD",New,New DO to N0001922D0025,Honeywell International Inc.,N00019 - HQ,"Campbell, Shawn",shawn.campbell.civ@us.navy.mil,"Baker, Stephanie M.",stephanie.m.baker30.civ@us.navy.mil,Unclassified,Unclassified,2.0,2.0,2.0,numeric_dollars,exact,,,,False,False,False,False,False,a01e68897a3f774c,KC-130J Program: Honeywell FY26-27 (Delivery Order 5),Exercise 5th Delivery order with Honeywell for NAVData,Exercise 5th Delivery order with Honeywell for NAVData,APM207 - APM207 - PEO A,NAVAIR,518210,K099,Sole Source,Unclassified,TBD,TBD,2026,Q3,"Pax River, MD",New,Honeywell International Inc.,N00019 - HQ,2.0,2.0,2.0
0.748,A,0.85,0.75,0.5,0.0,Strong capability match (85%); NAICS alignment (75%); Missing required certification,1.0,5bca63cfdd214f52,HQMC,HQMC_compiled_data.tsv,MCINCR,2025-08-28,Creative Cloud,Creative Cloud,Mairine Corps Band,Service-Disabled Veteran-Owned Small Business Set-Aside,Fixed-Price,Federal Supply Schedule Order,2025,Q3,2025,Q3,12,541519,DE10,"Quantico, VA",Follow-on,M0026424F0256,Red Hawk IT Solutions,M00264,Edgar Clark,edgar.clark@usmc.mil,Kellie Holley,kellie.holley@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,5bca63cfdd214f52,Creative Cloud,Creative Cloud,Creative Cloud,Mairine Corps Band,HQMC,541519,DE10,Service-Disabled Veteran-Owned Small Business Set-Aside,TBD,2025,Q3,2025,Q3,"Quantico, VA",Follow-on,Red Hawk IT Solutions,M00264,0.0,2.0,0.0
0.743,A,0.76,0.75,0.5,1.0,Strong capability match (76%); NAICS alignment (75%),1.0,abcef1f2ada4d235,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,FWB 2.0 - FORECAST AUTOMATION,FWB 2.0 - FORECAST AUTOMATION,NAVAL METEOROLOGY AND,FULL AND OPEN COMPETITION,FIRM FIXED PRICE,DELIVERY ORDER,2025,Q1,2025,Q4,,541512,DJ01,MS,Follow-on,N0018924FR067,BOOZ ALLEN HAMILTON INC,N00189,AARON MARTIN,aaron.b.martin12.civ@us.navy.mil,,,TBD,TBD,7.5,7.5,7.5,numeric_millions,exact,,,,False,False,False,False,False,abcef1f2ada4d235,FWB 2.0 - FORECAST AUTOMATION,FWB 2.0 - FORECAST AUTOMATION,FWB 2.0 - FORECAST AUTOMATION,NAVAL METEOROLOGY AND,NAVSUP,541512,DJ01,FULL AND OPEN COMPETITION,TBD,2025,Q1,2025,Q4,MS,Follow-on,BOOZ ALLEN HAMILTON INC,N00189,7.5,7.5,7.5
0.727,A,0.9,0.75,0.0,0.0,Strong capability match (90%); NAICS alignment (75%); Missing required certification,1.0,ae2857deca7f9f5a,HQMC,HQMC_compiled_data.tsv,MCINCR,2025-08-28,Cadet Records Management,Cadet Records Management,Marine Corps JROTC,Women-Owned Small Business Set-Aside,Fixed-Price,Purchase Order,2025,Q4,2025,Q4,12,541519,7B20,"Quantico, VA",Follow-on,M0026424P0086,Mega Data Services,M00264,Edgar Clark,edgar.clark@usmc.mil,Kellie Holley,kellie.holley@usmc.mil,TBD,TBD,,0.0,2.0,open_ended_below,open_ended,,,,False,False,True,False,False,ae2857deca7f9f5a,Cadet Records Management,Cadet Records Management,Cadet Records Management,Marine Corps JROTC,HQMC,541519,7B20,Women-Owned Small Business Set-Aside,TBD,2025,Q4,2025,Q4,"Quantico, VA",Follow-on,Mega Data Services,M00264,0.0,2.0,0.0
0.727,A,0.815,0.75,0.0,1.0,Strong capability match (82%); NAICS alignment (75%),1.0,7ac230ccfec99528,NAVSUP,NAVSUP_NMCARS_LRAE_compiled.tsv,Annex 25 Template,2025-08-26,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",MEDICAL AND PUBLIC AFFAIRS PHOTOGRAPHY,NAVAL HOSPITAL JACKSONVILLE FL,SMALL BUSINESS SET ASIDE,Fixed-Price,PURCHASE ORDER,2025,Q4,2026,Q1,60,541922,T006,JACKSONVILLE  FLORIDA,Follow-on,N6883621P0140,MULTI MEDIA MARKETING ASSOCIATES  INC.,N68836 NAVSUP FLCJ,ROLONDO TURNER,ROLONDO.R.TURNER.CIV@US.NAVY.MIL,ROLONDO TURNER,ROLONDO.R.TURNER.CIV@US.NAVY.MIL,TBD,TBD,2.0,2.0,2.0,numeric_millions,exact,Expires 24-Oct-2025,,,False,False,False,False,False,7ac230ccfec99528,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ALARM, SIGNAL, AND SECURITY DETECTION SYSTEMS",MEDICAL AND PUBLIC AFFAIRS PHOTOGRAPHY,MEDICAL AND PUBLIC AFFAIRS PHOTOGRAPHY,NAVAL HOSPITAL JACKSONVILLE FL,NAVSUP,541922,T006,SMALL BUSINESS SET ASIDE,TBD,2025,Q4,2026,Q1,JACKSONVILLE  FLORIDA,Follow-on,MULTI MEDIA MARKETING ASSOCIATES  INC.,N68836 NAVSUP FLCJ,2.0,2.0,2.0
0.723,A,0.622,1.0,0.5,1.0,Strong capability match (62%); NAICS alignment (100%),1.0,4752a2097e5cf7a9,HQMC,HQMC_compiled_data.tsv,MCICOM HQ,2025-08-28,PPV Real Estate and Housing Support,"Provide policy guidance, financial analysis and management, business case analysis, program improvement recommendations, business process development, analysis of identified opportunities, and contributions to senior leadership inquiries/data calls for PPV Real Estate and Housing Support.",MCICOM GF,Full and Open Competition,Fixed-Price,Federal Supply Schedule Order,2025,Q4,2026,Q1,60,541611 - ADMINISTRATIVE MANAGEMENT AND GENERAL MANAGEMENT CONSULTING SERVICES,R408 - SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,"Arlington, VA",Follow-on,M9549420F0030,THE CONCOURSE GROUP,M95494,Christina Neto,christina.e.neto.civ@usmc.mil,Tom Johnston,john.t.johnston2@usmc.mil,TBD,TBD,28.75,7.5,50.0,explicit_range,range_midpoint,,,,False,False,False,False,False,4752a2097e5cf7a9,PPV Real Estate and Housing Support,"Provide policy guidance, financial analysis and management, business case analysis, program improvement recommendations, business process development, analysis of identified opportunities, and contributions to senior leadership inquiries/data calls for PPV Real Estate and Housing Support.","Provide policy guidance, financial analysis and management, business case analysis, program improvement recommendations, business process development, analysis of identified opportunities, and contributions to senior leadership inquiries/data calls for PPV Real Estate and Housing Support.",MCICOM GF,HQMC,541611,R408,Full and Open Competition,TBD,2025,Q4,2026,Q1,"Arlington, VA",Follow-on,THE CONCOURSE GROUP,M95494,7.5,50.0,28.75
